Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,Softmax,0.01,200,3,64,36.323555
5,1,100,0.5,GELU,0.01,200,3,64,3.2329419
5,1,100,0.5,ReLU,0.01,200,4,64,8.785395
5,1,100,0.5,Tanh,0.01,200,4,64,24.431868
5,1,100,0.5,Sigmoid,0.01,200,4,64,16.773062
5,1,100,0.5,Softmax,0.01,200,4,64,36.31322
5,1,100,0.5,GELU,0.01,200,4,64,2.5043838
5,1,100,0.5,ReLU,0.01,200,1,128,0.9171378
5,1,100,0.5,Tanh,0.01,200,1,128,19.833988
5,1,100,0.5,Sigmoid,0.01,200,1,128,15.735102
5,1,100,0.5,Softmax,0.01,200,1,128,36.37425
5,1,100,0.5,GELU,0.01,200,1,128,0.33904687
5,1,100,0.5,ReLU,0.01,200,2,128,0.2777733
5,1,100,0.5,Tanh,0.01,200,2,128,19.64581
5,1,100,0.5,Sigmoid,0.01,200,2,128,16.749487
5,1,100,0.5,Softmax,0.01,200,2,128,36.343033
5,1,100,0.5,GELU,0.01,200,2,128,1.6041033
5,1,100,0.5,ReLU,0.01,200,3,128,3.083889
5,1,100,0.5,Tanh,0.01,200,3,128,25.690613
5,1,100,0.5,Sigmoid,0.01,200,3,128,16.74517
5,1,100,0.5,Softmax,0.01,200,3,128,36.277527
5,1,100,0.5,GELU,0.01,200,3,128,3.104526
5,1,100,0.5,ReLU,0.01,200,4,128,4.8896575
5,1,100,0.5,Tanh,0.01,200,4,128,25.69174
5,1,100,0.5,Sigmoid,0.01,200,4,128,16.744452
5,1,100,0.5,Softmax,0.01,200,4,128,36.28475
5,1,100,0.5,GELU,0.01,200,4,128,2.7180471
5,1,100,0.5,ReLU,0.01,200,1,256,0.7249556
5,1,100,0.5,Tanh,0.01,200,1,256,22.151384
5,1,100,0.5,Sigmoid,0.01,200,1,256,16.380163
5,1,100,0.5,Softmax,0.01,200,1,256,36.382164
5,1,100,0.5,GELU,0.01,200,1,256,0.40701964
5,1,100,0.5,ReLU,0.01,200,2,256,1.4697587
5,1,100,0.5,Tanh,0.01,200,2,256,22.058336
5,1,100,0.5,Sigmoid,0.01,200,2,256,16.73101
5,1,100,0.5,Softmax,0.01,200,2,256,36.330734
5,1,100,0.5,GELU,0.01,200,2,256,1.2933251
5,1,100,0.5,ReLU,0.01,200,3,256,2.6842508
5,1,100,0.5,Tanh,0.01,200,3,256,26.018929
5,1,100,0.5,Sigmoid,0.01,200,3,256,16.734648
5,1,100,0.5,Softmax,0.01,200,3,256,36.367672
5,1,100,0.5,GELU,0.01,200,3,256,2.162926
5,1,100,0.5,ReLU,0.01,200,4,256,18.07927
